aggregation_weighting,amounts_per_partner,dataset_name,epoch_count,final_relative_nb_samples,gradient_updates_per_pass_count,is_early_stopping,learning_computation_time_sec,minibatch_count,mpl_nb_epochs_done,mpl_test_score,multi_partner_learning_approach,nb_samples_used,partners_count,samples_split_option,scenario_name,short_scenario_name,single_partner_test_mode,test_data_samples_count,train_data_samples_count,random_state,scenario_id
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,119.12753387726843,10.0,5.0,0.2290000021457672,seq-pure,40000.0,3.0,stratified,scenario_14_repeat_3_2020-06-15_20h00_69e,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,2,13
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,586.3178186491132,10.0,11.0,0.374099999666214,seq-with-final-agg,40000.0,3.0,stratified,scenario_15_repeat_3_2020-06-15_20h02_559,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,2,14
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,222.67705568298697,10.0,5.0,0.10000000149011612,seqavg,40000.0,3.0,stratified,scenario_16_repeat_3_2020-06-15_20h12_88d,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,2,15
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,582.9800327364355,10.0,9.0,0.989799976348877,fedavg,48000.0,3.0,random,scenario_1_repeat_4_2020-06-15_20h16_563,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,3,0
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,149.1221604179591,10.0,7.0,0.9898999929428101,seq-pure,48000.0,3.0,random,scenario_2_repeat_4_2020-06-15_20h26_96c,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,3,1
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,460.46185475587845,10.0,7.0,0.9890999794006348,seq-with-final-agg,48000.0,3.0,random,scenario_3_repeat_4_2020-06-15_20h28_c9f,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,3,2
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,198.588386753574,10.0,7.0,0.9894999861717224,seqavg,48000.0,3.0,random,scenario_4_repeat_4_2020-06-15_20h36_9ea,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,3,3
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,322.21033363603055,10.0,6.0,0.8974999785423279,fedavg,48000.0,3.0,stratified,scenario_5_repeat_4_2020-06-15_20h39_4f8,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,3,4
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,211.04394943080842,10.0,11.0,0.9861999750137329,seq-pure,48000.0,3.0,stratified,scenario_6_repeat_4_2020-06-15_20h44_13a,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,3,5
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,219.51946288719773,10.0,11.0,0.9866999983787537,seq-with-final-agg,48000.0,3.0,stratified,scenario_7_repeat_4_2020-06-15_20h48_ea0,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,3,6
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,962.4399155247957,10.0,15.0,0.9864000082015991,seqavg,48000.0,3.0,stratified,scenario_8_repeat_4_2020-06-15_20h52_1dd,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,3,7
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,2326.0812404397875,10.0,24.0,0.7353000044822693,fedavg,40000.0,3.0,random,scenario_9_repeat_4_2020-06-15_21h08_375,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,3,8
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,240.38356280326843,10.0,9.0,0.475600004196167,seq-pure,40000.0,3.0,random,scenario_10_repeat_4_2020-06-15_21h47_120,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,3,9
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,956.8565312027931,10.0,37.0,0.6913999915122986,seq-with-final-agg,40000.0,3.0,random,scenario_11_repeat_4_2020-06-15_21h51_d3c,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,3,10
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,1076.478918498382,10.0,23.0,0.7488999962806702,seqavg,40000.0,3.0,random,scenario_12_repeat_4_2020-06-15_22h07_f05,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,3,11
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,996.3529941253364,10.0,10.0,0.3580000102519989,fedavg,40000.0,3.0,stratified,scenario_13_repeat_4_2020-06-15_22h25_daf,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,3,12
